"legislator_id_number","party","state","year","ideology_score"
846,"Democrat","AR",1993,0.16
849,"Democrat","AR",1993,0.168
852,"Democrat","AR",1993,0.055
858,"Democrat","AR",1993,0.175
861,"Democrat","AR",1993,0.127
872,"Republican","AR",1993,0.139
878,"Democrat","AR",1993,0.074
879,"Democrat","AR",1993,0.142
890,"Democrat","AR",1993,0.376
892,"Democrat","AR",1993,0.289
895,"Democrat","AR",1993,0.017
902,"Democrat","AR",1993,0.111
911,"Democrat","AR",1993,0.221
914,"Democrat","AR",1993,0.078
921,"Democrat","AR",1993,0.165
922,"Democrat","AR",1993,0.097
933,"Democrat","AR",1993,0.03
940,"Democrat","AR",1993,0.241
943,"Democrat","AR",1993,0.104
945,"Democrat","AR",1993,0.157
946,"Democrat","AR",1993,0.261
957,"Democrat","AR",1993,0.127
963,"Democrat","AR",1993,0.178
966,"Democrat","AR",1993,0.145
973,"Republican","AR",1993,0.176
975,"Democrat","AR",1993,0.144
979,"Democrat","AR",1993,-0.162
980,"Democrat","AR",1993,0.181
984,"Republican","AR",1993,0.279
993,"Democrat","AR",1993,0.158
996,"Democrat","AR",1993,-0.02
998,"Democrat","AR",1993,0.215
1003,"Democrat","AR",1993,0.094
1004,"Democrat","AR",1993,0.085
1006,"Democrat","AR",1993,0.25
1010,"Democrat","AR",1993,0.145
1011,"Democrat","AR",1993,0.152
1013,"Democrat","AR",1993,0.283
1015,"Democrat","AR",1993,0.441
1018,"Independent","AR",1993,0.178
1022,"Democrat","AR",1993,0.331
1026,"Republican","AR",1993,0.189
1365,"Republican","CA",1993,0.969
1367,"Republican","CA",1993,1.386
1369,"Republican","CA",1993,0.909
1372,"Democrat","CA",1993,-1.095
1376,"Republican","CA",1993,1.772
1379,"Democrat","CA",1993,-1.603
1380,"Democrat","CA",1993,-1.052
1385,"Democrat","CA",1993,-0.94
1389,"Democrat","CA",1993,-2.23
1410,"Republican","CA",1993,1.285
1414,"Democrat","CA",1993,-1.202
1415,"Democrat","CA",1993,-1
1416,"Republican","CA",1993,1.29
1420,"Democrat","CA",1993,-1.709
1422,"Democrat","CA",1993,-1.379
1423,"Democrat","CA",1993,-1.417
1425,"Republican","CA",1993,1.426
1427,"Democrat","CA",1993,-1.958
1428,"Democrat","CA",1993,-0.992
1431,"Democrat","CA",1993,-1.215
1436,"Democrat","CA",1993,-1.83
1443,"Democrat","CA",1993,-0.816
1457,"Republican","CA",1993,0.399
1458,"Democrat","CA",1993,-0.125
1459,"Republican","CA",1993,1.121
1465,"Democrat","CA",1993,-1.12
1467,"Democrat","CA",1993,-0.674
1489,"Democrat","CA",1993,-1.202
1495,"Democrat","CA",1993,-1.567
1499,"Democrat","CA",1993,-1.01
1500,"Democrat","CA",1993,-1.492
1502,"Democrat","CA",1993,-1.393
1503,"Republican","CA",1993,1.459
1513,"Republican","CA",1993,0.908
1515,"Democrat","CA",1993,-1.802
1516,"Democrat","CA",1993,-2.104
1532,"Republican","CA",1993,0.998
1537,"Democrat","CA",1993,-1.529
1546,"Democrat","CA",1993,-1.223
1550,"Republican","CA",1993,1.337
1551,"Democrat","CA",1993,-1.064
1556,"Republican","CA",1993,2.278
1562,"Republican","CA",1993,1.95
1566,"Republican","CA",1993,1.658
1568,"Republican","CA",1993,1.044
1579,"Democrat","CA",1993,-1.619
1583,"Republican","CA",1993,1.335
1585,"Republican","CA",1993,1.14
1590,"Democrat","CA",1993,-1.411
1591,"Democrat","CA",1993,-1.346
1597,"Democrat","CA",1993,-1.55
1598,"Republican","CA",1993,1.568
1600,"Republican","CA",1993,1.792
1612,"Democrat","CA",1993,-2.05
1637,"Democrat","CA",1993,-2.085
1639,"Democrat","CA",1993,-1.43
1646,"Democrat","CA",1993,-1.416
1648,"Republican","CA",1993,0.527
1660,"Democrat","CA",1993,-1.331
1664,"Republican","CA",1993,1.547
1665,"Republican","CA",1993,1.675
1670,"Democrat","CA",1993,-1.115
1675,"Democrat","CA",1993,-1.408
1685,"Republican","CA",1993,1.635
1687,"Democrat","CA",1993,-1.299
1703,"Democrat","CA",1993,-0.665
1709,"Democrat","CA",1993,-1.281
1715,"Republican","CA",1993,1.612
1716,"Republican","CA",1993,1.11
1719,"Republican","CA",1993,0.795
1724,"Republican","CA",1993,1.031
1729,"Republican","CA",1993,1.065
1746,"Republican","CA",1993,1.38
1749,"Democrat","CA",1993,-2.011
1754,"Democrat","CA",1993,-0.951
1755,"Democrat","CA",1993,-1.747
1758,"Democrat","CA",1993,-1.525
1760,"Republican","CA",1993,0.537
1768,"Republican","CA",1993,0.915
1778,"Democrat","CA",1993,-1.144
1779,"Democrat","CA",1993,-0.943
1782,"Democrat","CA",1993,-1.527
1794,"Republican","CA",1993,1.149
1802,"Republican","CA",1993,0.999
16515,"Democrat","SC",1993,0.407
16516,"Democrat","SC",1993,0.245
16521,"Republican","SC",1993,1.098
16524,"Democrat","SC",1993,-0.492
16526,"Democrat","SC",1993,-0.034
16528,"Democrat","SC",1993,0.165
16530,"Democrat","SC",1993,-0.024
16531,"Republican","SC",1993,1.309
16535,"Democrat","SC",1993,0.063
16540,"Democrat","SC",1993,-0.092
16541,"Democrat","SC",1993,-0.394
16548,"Democrat","SC",1993,0.095
16558,"Democrat","SC",1993,-1.141
16560,"Democrat","SC",1993,-0.424
16561,"Republican","SC",1993,0.935
16563,"Democrat","SC",1993,-0.4
16569,"Democrat","SC",1993,-0.786
16574,"Democrat","SC",1993,-0.658
16575,"Democrat","SC",1993,0.034
16576,"Republican","SC",1993,1.009
16580,"Democrat","SC",1993,0.6
16587,"Republican","SC",1993,1.403
16590,"Democrat","SC",1993,-0.828
16593,"Republican","SC",1993,0.849
16596,"Republican","SC",1993,0.702
16602,"Independent","SC",1993,0.159
16607,"Republican","SC",1993,0.653
16609,"Democrat","SC",1993,0.328
16618,"Democrat","SC",1993,0.218
16621,"Republican","SC",1993,0.826
16622,"Democrat","SC",1993,0.009
16623,"Democrat","SC",1993,0.357
16632,"Republican","SC",1993,0.868
16635,"Republican","SC",1993,0.538
16644,"Republican","SC",1993,0.722
16646,"Democrat","SC",1993,-0.482
16647,"Republican","SC",1993,0.775
16654,"Republican","SC",1993,0.726
16659,"Republican","SC",1993,0.832
16660,"Democrat","SC",1993,-0.415
16662,"Democrat","SC",1993,0.086
16663,"Democrat","SC",1993,0.062
16664,"Republican","SC",1993,0.773
16666,"Democrat","SC",1993,-0.177
16668,"Democrat","SC",1993,0.124
16669,"Republican","SC",1993,0.985
16680,"Democrat","SC",1993,-0.612
16685,"Democrat","SC",1993,-0.201
16688,"Democrat","SC",1993,-0.032
16691,"Democrat","SC",1993,-0.169
16693,"Republican","SC",1993,1.055
16695,"Republican","SC",1993,0.785
16697,"Democrat","SC",1993,-0.722
16699,"Republican","SC",1993,0.638
16701,"Democrat","SC",1993,-0.253
16705,"Republican","SC",1993,0.829
16706,"Republican","SC",1993,0.825
16708,"Democrat","SC",1993,-0.349
16713,"Democrat","SC",1993,0.227
16714,"Democrat","SC",1993,0.556
16715,"Republican","SC",1993,0.812
16719,"Republican","SC",1993,0.917
16723,"Republican","SC",1993,0.653
16724,"Democrat","SC",1993,0.582
16733,"Republican","SC",1993,0.768
16745,"Republican","SC",1993,0.955
16747,"Democrat","SC",1993,-0.053
16754,"Democrat","SC",1993,0.116
16755,"Democrat","SC",1993,-0.296
16759,"Democrat","SC",1993,0.29
16761,"Democrat","SC",1993,-0.309
16764,"Democrat","SC",1993,0.383
16766,"Democrat","SC",1993,-0.31
16768,"Democrat","SC",1993,-0.478
16770,"Democrat","SC",1993,-0.242
16771,"Republican","SC",1993,0.758
16778,"Democrat","SC",1993,-0.549
16788,"Democrat","SC",1993,-0.801
16790,"Democrat","SC",1993,0.051
16808,"Democrat","SC",1993,0.162
16816,"Republican","SC",1993,0.876
16822,"Democrat","SC",1993,0.037
16824,"Republican","SC",1993,0.431
16828,"Republican","SC",1993,0.87
16832,"Republican","SC",1993,1.07
16835,"Democrat","SC",1993,-0.307
16837,"Democrat","SC",1993,-0.317
16848,"Democrat","SC",1993,-0.681
16853,"Republican","SC",1993,0.847
16856,"Democrat","SC",1993,0.011
16857,"Republican","SC",1993,0.269
16860,"Republican","SC",1993,0.886
16864,"Republican","SC",1993,0.913
16871,"Democrat","SC",1993,0.889
16874,"Democrat","SC",1993,-0.055
16877,"Democrat","SC",1993,0.08
16882,"Democrat","SC",1993,0.348
16885,"Democrat","SC",1993,0.132
16886,"Republican","SC",1993,0.738
16888,"Republican","SC",1993,0.437
16889,"Republican","SC",1993,0.718
16896,"Republican","SC",1993,0.413
16900,"Democrat","SC",1993,0.375
16904,"Republican","SC",1993,0.954
16905,"Democrat","SC",1993,-0.009
16908,"Republican","SC",1993,0.926
16912,"Democrat","SC",1993,-0.212
16915,"Democrat","SC",1993,0.128
16917,"Republican","SC",1993,0.917
16921,"Republican","SC",1993,1.104
16925,"Democrat","SC",1993,-0.663
16927,"Democrat","SC",1993,-0.793
16930,"Democrat","SC",1993,0.032
16931,"Democrat","SC",1993,0.036
16932,"Democrat","SC",1993,-0.166
16933,"Republican","SC",1993,0.96
16935,"Democrat","SC",1993,-0.635
16940,"Republican","SC",1993,0.842
16941,"Republican","SC",1993,1.012
16944,"Democrat","SC",1993,0.346
16946,"Republican","SC",1993,0.806
16948,"Republican","SC",1993,0.945
16950,"Republican","SC",1993,0.713
17657,"Democrat","TX",1993,0.004
17659,"Republican","TX",1993,1.113
17661,"Democrat","TX",1993,-1.523
17662,"Democrat","TX",1993,-0.946
17670,"Republican","TX",1993,0.845
17672,"Democrat","TX",1993,-0.627
17677,"Democrat","TX",1993,-0.698
17682,"Democrat","TX",1993,0.327
17686,"Democrat","TX",1993,0.383
17689,"Democrat","TX",1993,-0.47
17690,"Republican","TX",1993,0.471
17692,"Republican","TX",1993,0.95
17699,"Democrat","TX",1993,-0.136
17702,"Republican","TX",1993,1.046
17708,"Republican","TX",1993,0.84
17709,"Republican","TX",1993,0.796
17713,"Democrat","TX",1993,-0.941
17715,"Republican","TX",1993,1.077
17719,"Democrat","TX",1993,0.525
17722,"Democrat","TX",1993,-1.428
17724,"Republican","TX",1993,0.775
17725,"Democrat","TX",1993,-1.055
17727,"Democrat","TX",1993,0.374
17729,"Republican","TX",1993,1.402
17731,"Democrat","TX",1993,0.031
17732,"Republican","TX",1993,1.658
17733,"Republican","TX",1993,1.44
17737,"Democrat","TX",1993,-0.231
17738,"Democrat","TX",1993,-0.829
17739,"Republican","TX",1993,1.261
17741,"Democrat","TX",1993,-0.84
17743,"Democrat","TX",1993,-1.357
17744,"Democrat","TX",1993,-1.476
17749,"Democrat","TX",1993,-0.959
17750,"Democrat","TX",1993,0.002
17751,"Democrat","TX",1993,-0.963
17752,"Republican","TX",1993,1.13
17754,"Democrat","TX",1993,-0.333
17757,"Republican","TX",1993,1.109
17759,"Republican","TX",1993,0.89
17761,"Democrat","TX",1993,-0.864
17762,"Democrat","TX",1993,-0.084
17763,"Republican","TX",1993,0.982
17764,"Democrat","TX",1993,-0.498
17774,"Republican","TX",1993,0.761
17782,"Democrat","TX",1993,0.648
17784,"Democrat","TX",1993,-1.196
17791,"Democrat","TX",1993,-0.883
17792,"Democrat","TX",1993,-1.26
17803,"Democrat","TX",1993,-0.785
17804,"Democrat","TX",1993,-0.361
17812,"Republican","TX",1993,0.528
17813,"Republican","TX",1993,0.854
17814,"Democrat","TX",1993,-0.637
17815,"Democrat","TX",1993,-0.534
17817,"Democrat","TX",1993,-0.933
17822,"Democrat","TX",1993,-0.356
17824,"Republican","TX",1993,0.546
17826,"Republican","TX",1993,1.236
17832,"Republican","TX",1993,1.025
17833,"Republican","TX",1993,1.192
17836,"Republican","TX",1993,2.152
17840,"Democrat","TX",1993,-1.006
17843,"Democrat","TX",1993,-0.369
17845,"Republican","TX",1993,1.005
17846,"Republican","TX",1993,1.137
17847,"Republican","TX",1993,1.254
17849,"Democrat","TX",1993,-0.723
17850,"Democrat","TX",1993,-1.01
17852,"Republican","TX",1993,0.902
17857,"Republican","TX",1993,1.9
17864,"Republican","TX",1993,0.793
17865,"Republican","TX",1993,0.605
17870,"Republican","TX",1993,1.283
17872,"Democrat","TX",1993,0.096
17875,"Republican","TX",1993,0.569
17877,"Democrat","TX",1993,-1.067
17878,"Democrat","TX",1993,0.074
17880,"Republican","TX",1993,0.852
17894,"Republican","TX",1993,1.224
17895,"Democrat","TX",1993,0.354
17896,"Republican","TX",1993,0.894
17910,"Democrat","TX",1993,0.137
17914,"Democrat","TX",1993,-0.521
17915,"Democrat","TX",1993,-0.876
17926,"Republican","TX",1993,1.329
17930,"Republican","TX",1993,1.222
17933,"Democrat","TX",1993,-0.602
17936,"Democrat","TX",1993,-1.475
17937,"Republican","TX",1993,0.768
17939,"Democrat","TX",1993,0.057
17940,"Democrat","TX",1993,-1.04
17950,"Republican","TX",1993,1.16
17955,"Democrat","TX",1993,-1.715
17958,"Republican","TX",1993,1.167
17959,"Democrat","TX",1993,-0.447
17963,"Democrat","TX",1993,-1.374
17969,"Democrat","TX",1993,-0.622
17974,"Democrat","TX",1993,-0.486
17975,"Republican","TX",1993,1.114
17976,"Democrat","TX",1993,-0.596
17983,"Republican","TX",1993,0.994
17985,"Democrat","TX",1993,-1.371
17988,"Democrat","TX",1993,0.26
17997,"Republican","TX",1993,0.897
17998,"Democrat","TX",1993,-0.152
17999,"Democrat","TX",1993,-0.745
18001,"Democrat","TX",1993,-0.772
18003,"Republican","TX",1993,1.169
18004,"Democrat","TX",1993,0.274
18006,"Democrat","TX",1993,-1.421
18009,"Democrat","TX",1993,-0.763
18019,"Democrat","TX",1993,-0.979
18022,"Democrat","TX",1993,-1.122
18026,"Democrat","TX",1993,0.27
18028,"Democrat","TX",1993,-0.399
18031,"Democrat","TX",1993,0.294
18033,"Democrat","TX",1993,-0.178
18037,"Democrat","TX",1993,-0.506
18046,"Republican","TX",1993,1.51
18048,"Republican","TX",1993,1.295
18053,"Republican","TX",1993,1.236
18054,"Republican","TX",1993,1.313
18056,"Republican","TX",1993,1.138
18057,"Democrat","TX",1993,-1.104
18065,"Democrat","TX",1993,-0.017
18068,"Republican","TX",1993,1.055
18069,"Republican","TX",1993,0.974
18070,"Republican","TX",1993,1.308
18073,"Democrat","TX",1993,-0.37
18076,"Democrat","TX",1993,-0.641
18077,"Democrat","TX",1993,-1.113
18085,"Democrat","TX",1993,0.235
18088,"Democrat","TX",1993,-0.688
18090,"Democrat","TX",1993,0.191
18093,"Democrat","TX",1993,-0.695
18099,"Republican","TX",1993,-0.06
18106,"Republican","TX",1993,1.063
18110,"Republican","TX",1993,0.753
18111,"Democrat","TX",1993,-0.27
18112,"Democrat","TX",1993,-0.16
18115,"Democrat","TX",1993,-0.353
18120,"Democrat","TX",1993,-0.708
18121,"Republican","TX",1993,0.962
18123,"Democrat","TX",1993,-0.319
18127,"Republican","UT",1993,0.673
18129,"Republican","UT",1993,1.326
18137,"Democrat","UT",1993,0.117
18141,"Republican","UT",1993,0.439
18142,"Democrat","UT",1993,0.303
18143,"Democrat","UT",1993,-0.528
18149,"Democrat","UT",1993,-0.705
18159,"Republican","UT",1993,0.832
18163,"Republican","UT",1993,0.924
18165,"Republican","UT",1993,0.465
18167,"Republican","UT",1993,0.028
18171,"Republican","UT",1993,0.748
18175,"Democrat","UT",1993,-0.775
18177,"Republican","UT",1993,0.288
18178,"Republican","UT",1993,1.023
18183,"Republican","UT",1993,0.806
18184,"Democrat","UT",1993,-0.66
18185,"Republican","UT",1993,0.51
18186,"Republican","UT",1993,0.964
18203,"Democrat","UT",1993,-0.801
18208,"Republican","UT",1993,0.521
18221,"Republican","UT",1993,0.986
18222,"Democrat","UT",1993,-0.568
18223,"Republican","UT",1993,0.586
18225,"Republican","UT",1993,0.799
18233,"Republican","UT",1993,0.674
18237,"Democrat","UT",1993,-0.511
18239,"Republican","UT",1993,1.037
18243,"Democrat","UT",1993,-0.547
18244,"Democrat","UT",1993,0.03
18246,"Democrat","UT",1993,-0.293
18257,"Republican","UT",1993,0.935
18259,"Republican","UT",1993,0.632
18263,"Democrat","UT",1993,-0.435
18265,"Republican","UT",1993,0.948
18275,"Republican","UT",1993,0.461
18276,"Republican","UT",1993,1.813
18281,"Democrat","UT",1993,-0.341
18283,"Republican","UT",1993,0.754
18284,"Republican","UT",1993,0.932
18286,"Republican","UT",1993,0.924
18287,"Republican","UT",1993,0.327
18288,"Democrat","UT",1993,-0.764
18292,"Democrat","UT",1993,-0.761
18296,"Republican","UT",1993,0.7
18303,"Democrat","UT",1993,-0.572
18313,"Republican","UT",1993,0.334
18319,"Democrat","UT",1993,-0.231
18333,"Democrat","UT",1993,0.376
18336,"Republican","UT",1993,1.271
18340,"Republican","UT",1993,0.964
18345,"Republican","UT",1993,0.645
18353,"Republican","UT",1993,1.484
18354,"Democrat","UT",1993,-0.393
18362,"Republican","UT",1993,0.652
18367,"Democrat","UT",1993,-0.606
18372,"Republican","UT",1993,0.914
18373,"Democrat","UT",1993,-0.335
18375,"Republican","UT",1993,1.41
18388,"Democrat","UT",1993,-0.617
18396,"Democrat","UT",1993,-0.515
18398,"Republican","UT",1993,0.59
18401,"Republican","UT",1993,0.443
18411,"Republican","UT",1993,1.054
18412,"Republican","UT",1993,1.227
18418,"Republican","UT",1993,0.685
18419,"Democrat","UT",1993,-0.722
18423,"Republican","UT",1993,0.571
18431,"Democrat","UT",1993,-0.426
18433,"Republican","UT",1993,0.932
18434,"Republican","UT",1993,1.081
18436,"Republican","UT",1993,0.949
18439,"Republican","UT",1993,0.863
18458,"Republican","UT",1993,1.497
18460,"Republican","UT",1993,0.783
19351,"Democrat","WA",1993,-1.85
19356,"Democrat","WA",1993,-1.384
19362,"Republican","WA",1993,1.148
19363,"Republican","WA",1993,0.559
19367,"Democrat","WA",1993,-0.657
19386,"Democrat","WA",1993,-0.772
19387,"Republican","WA",1993,0.398
19388,"Democrat","WA",1993,-1.372
19390,"Republican","WA",1993,0.631
19397,"Democrat","WA",1993,0.094
19400,"Republican","WA",1993,0.332
19403,"Republican","WA",1993,0.969
19406,"Republican","WA",1993,1.047
19407,"Democrat","WA",1993,-0.271
19415,"Democrat","WA",1993,-1.866
19418,"Democrat","WA",1993,-1.286
19419,"Republican","WA",1993,0.607
19422,"Democrat","WA",1993,-1.414
19432,"Democrat","WA",1993,-1.346
19435,"Democrat","WA",1993,-0.727
19440,"Democrat","WA",1993,-1.205
19441,"Republican","WA",1993,0.688
19442,"Democrat","WA",1993,-1.182
19445,"Republican","WA",1993,0.735
19448,"Democrat","WA",1993,-1.03
19459,"Democrat","WA",1993,-0.521
19462,"Democrat","WA",1993,-1.053
19463,"Democrat","WA",1993,-1.837
19466,"Democrat","WA",1993,-0.899
19467,"Republican","WA",1993,0.77
19468,"Republican","WA",1993,0.735
19470,"Democrat","WA",1993,-1.317
19475,"Republican","WA",1993,1.537
19484,"Democrat","WA",1993,-0.623
19495,"Democrat","WA",1993,-0.134
19506,"Democrat","WA",1993,-0.921
19514,"Democrat","WA",1993,-1.036
19519,"Republican","WA",1993,0.682
19530,"Democrat","WA",1993,-1.209
19535,"Democrat","WA",1993,-0.417
19536,"Democrat","WA",1993,-1.484
19539,"Democrat","WA",1993,-1.144
19541,"Democrat","WA",1993,-1.021
19543,"Democrat","WA",1993,-1.03
19549,"Democrat","WA",1993,-0.812
19552,"Democrat","WA",1993,-1.367
19557,"Democrat","WA",1993,-1.805
19559,"Democrat","WA",1993,-0.262
19565,"Democrat","WA",1993,-0.648
19566,"Democrat","WA",1993,-1.659
19568,"Democrat","WA",1993,-0.827
19569,"Republican","WA",1993,1.241
19571,"Democrat","WA",1993,-1.473
19572,"Republican","WA",1993,0.423
19576,"Democrat","WA",1993,-0.812
19585,"Democrat","WA",1993,-0.139
19598,"Democrat","WA",1993,-1.01
19599,"Republican","WA",1993,1.006
19601,"Republican","WA",1993,0.4
19609,"Democrat","WA",1993,-0.633
19611,"Republican","WA",1993,1.061
19619,"Democrat","WA",1993,-1.429
19630,"Democrat","WA",1993,-1.232
19634,"Democrat","WA",1993,-1.007
19639,"Republican","WA",1993,1.475
19643,"Democrat","WA",1993,-1.042
19646,"Democrat","WA",1993,-1.325
19660,"Democrat","WA",1993,-1.433
19661,"Democrat","WA",1993,-0.798
19666,"Democrat","WA",1993,-0.121
19667,"Republican","WA",1993,0.671
19672,"Democrat","WA",1993,-0.933
19682,"Democrat","WA",1993,-0.32
19684,"Democrat","WA",1993,-1.506
19688,"Democrat","WA",1993,-1.877
19697,"Republican","WA",1993,0.612
19698,"Republican","WA",1993,1.068
19702,"Democrat","WA",1993,-1.115
19704,"Republican","WA",1993,0.844
19711,"Republican","WA",1993,0.838
19713,"Democrat","WA",1993,0.185
19715,"Democrat","WA",1993,-0.823
19717,"Republican","WA",1993,0.936
19729,"Democrat","WA",1993,-1.419
19731,"Democrat","WA",1993,-0.726
19736,"Republican","WA",1993,1.424
19747,"Republican","WA",1993,0.867
19750,"Republican","WA",1993,1.075
19753,"Democrat","WA",1993,-2.03
19754,"Republican","WA",1993,0.787
19761,"Democrat","WA",1993,-1.54
19763,"Republican","WA",1993,0.761
19764,"Republican","WA",1993,0.832
19765,"Democrat","WA",1993,-1.745
19772,"Democrat","WA",1993,-1.78
19782,"Democrat","WA",1993,-1.428
19785,"Democrat","WA",1993,-1.411
19787,"Republican","WA",1993,0.437
19795,"Democrat","WA",1993,-0.547
500,"Democrat","AR",1994,0.285
506,"Democrat","AR",1994,-0.013
509,"Democrat","AR",1994,0.258
513,"Democrat","AR",1994,0.161
519,"Democrat","AR",1994,0.125
525,"Democrat","AR",1994,-0.138
529,"Republican","AR",1994,0.294
531,"Democrat","AR",1994,0.049
552,"Democrat","AR",1994,-0.198
555,"Republican","AR",1994,-0.097
556,"Democrat","AR",1994,0.185
557,"Republican","AR",1994,0.648
566,"Democrat","AR",1994,0.2
568,"Democrat","AR",1994,0.125
571,"Democrat","AR",1994,0.09
573,"Democrat","AR",1994,0.142
581,"Democrat","AR",1994,0.166
586,"Democrat","AR",1994,0.19
602,"Democrat","AR",1994,-0.046
603,"Democrat","AR",1994,0.326
609,"Democrat","AR",1994,0.229
611,"Democrat","AR",1994,0.231
617,"Democrat","AR",1994,0.13
627,"Democrat","AR",1994,0.32
641,"Democrat","AR",1994,0.233
653,"Democrat","AR",1994,-0.002
655,"Democrat","AR",1994,0.173
661,"Democrat","AR",1994,0.284
663,"Democrat","AR",1994,-0.016
669,"Democrat","AR",1994,-0.093
681,"Democrat","AR",1994,0.188
694,"Democrat","AR",1994,0.187
699,"Democrat","AR",1994,0.206
701,"Democrat","AR",1994,0.162
707,"Democrat","AR",1994,0.182
709,"Republican","AR",1994,0.349
712,"Democrat","AR",1994,0.1
716,"Democrat","AR",1994,0.161
722,"Democrat","AR",1994,0.256
732,"Democrat","AR",1994,0.144
756,"Democrat","AR",1994,0.098
757,"Democrat","AR",1994,0.138
770,"Republican","AR",1994,0.208
775,"Democrat","AR",1994,0.142
795,"Democrat","AR",1994,0.214
800,"Democrat","AR",1994,-0.006
814,"Democrat","AR",1994,0.22
818,"Democrat","AR",1994,-0.019
820,"Democrat","AR",1994,-0.072
821,"Democrat","AR",1994,0.096
822,"Democrat","AR",1994,0.218
830,"Democrat","AR",1994,0.082
832,"Democrat","AR",1994,0.314
834,"Democrat","AR",1994,0.159
838,"Democrat","AR",1994,0.179
839,"Democrat","AR",1994,0.217
844,"Republican","AR",1994,0.239
846,"Democrat","AR",1994,0.16
849,"Democrat","AR",1994,0.168
852,"Democrat","AR",1994,0.055
858,"Democrat","AR",1994,0.175
861,"Democrat","AR",1994,0.127
872,"Republican","AR",1994,0.139
878,"Democrat","AR",1994,0.074
879,"Democrat","AR",1994,0.142
890,"Democrat","AR",1994,0.376
892,"Democrat","AR",1994,0.289
895,"Democrat","AR",1994,0.017
902,"Democrat","AR",1994,0.111
911,"Democrat","AR",1994,0.221
914,"Democrat","AR",1994,0.078
921,"Democrat","AR",1994,0.165
922,"Democrat","AR",1994,0.097
933,"Democrat","AR",1994,0.03
940,"Democrat","AR",1994,0.241
943,"Democrat","AR",1994,0.104
945,"Democrat","AR",1994,0.157
946,"Democrat","AR",1994,0.261
957,"Democrat","AR",1994,0.127
963,"Democrat","AR",1994,0.178
966,"Democrat","AR",1994,0.145
973,"Republican","AR",1994,0.176
975,"Democrat","AR",1994,0.144
979,"Democrat","AR",1994,-0.162
980,"Democrat","AR",1994,0.181
984,"Republican","AR",1994,0.279
993,"Democrat","AR",1994,0.158
996,"Democrat","AR",1994,-0.02
998,"Democrat","AR",1994,0.215
1003,"Democrat","AR",1994,0.094
1004,"Democrat","AR",1994,0.085
1006,"Democrat","AR",1994,0.25
1010,"Democrat","AR",1994,0.145
1011,"Democrat","AR",1994,0.152
1013,"Democrat","AR",1994,0.283
1015,"Democrat","AR",1994,0.441
1018,"Independent","AR",1994,0.178
1022,"Democrat","AR",1994,0.331
1026,"Republican","AR",1994,0.189
1365,"Republican","CA",1994,0.969
1367,"Republican","CA",1994,1.386
1369,"Republican","CA",1994,0.909
1372,"Democrat","CA",1994,-1.095
1376,"Republican","CA",1994,1.772
1379,"Democrat","CA",1994,-1.603
1380,"Democrat","CA",1994,-1.052
1385,"Democrat","CA",1994,-0.94
1389,"Democrat","CA",1994,-2.23
1410,"Republican","CA",1994,1.285
1414,"Democrat","CA",1994,-1.202
1415,"Democrat","CA",1994,-1
1416,"Republican","CA",1994,1.29
1420,"Democrat","CA",1994,-1.709
1422,"Democrat","CA",1994,-1.379
1423,"Democrat","CA",1994,-1.417
1425,"Republican","CA",1994,1.426
1427,"Democrat","CA",1994,-1.958
